35540,1
35234,1
263637,1
59353,1
41967,2
29687,5
6802,1
19711,5
16342,24
55341,3
24028,2
52864,3
28994,1
28996,5
57847,2
52862,7
131442,2
52191,1
28999,1
52869,1
20875,4
197035,1
27895,5
19397,2
262293,4
201725,3
262294,1
50648,2
50649,1
39108,1
51068,1
50643,3
7030,1
199398,1
39101,3
39102,3
42717,2
61204,1
56580,6
57605,1
52268,1
48264,1
51288,2
43873,2
262743,1
42459,4
43182,8
12705,323
262746,1
262745,1
12709,19
262749,8
262748,1
35432,4
262585,1
1651,1
35298,1
43373,1
131207,6
43478,7
4739,42
34714,1
6799,38
21230,6
60829,1
198715,2
20870,1
44050,1
132977,2
25668,23
51604,18
51607,1
201435,1
52008,4
57293,9
21104,4
21107,12
41842,2
262519,8
17658,1
60139,1
61944,1
4787,6
4657,15
55832,4
55831,4
61996,2
56830,10
27773,3
25441,1
56835,2
57160,1
197998,4
52944,1
59913,1
57613,1
262637,2
262635,1
28311,1
43053,1
46009,1
51116,2
25596,1
263024,2
2518,3
8308,1
30848,3
46004,17
39067,1
263026,3
57478,2
42081,2
52647,1
57474,2
28310,7
44492,1
42905,1
57470,1
63844,1
263020,3
52484,1
56401,1
57188,1
49568,1
52182,2
49565,2
39927,31
5486,8
47551,1
57180,2
32860,1
4812,321
43627,3
2510,2
41900,6
16814,8
41904,1
53231,1
49160,2
8913,1
9415,12
9416,245
14989,1
21299,38
11367,3
45113,6
196891,1
53022,15
12127,4
45117,80
48563,1
10143,13
132641,11
41349,3
20525,4
58678,17
197697,5
44247,11
39699,26
33470,1
28048,20
198496,1
9329,134
58079,6
14988,2
27996,1
27997,3
42832,1
49300,3
17726,19
42831,1
52730,1
24086,1587
52732,4
198498,1
38502,1
56936,3
58006,1
16923,1
41639,1
37004,1
37002,6
60646,2
48365,4
41232,5
48361,1
51069,8
42126,4
50357,4
42322,7
28103,1
41168,1
196673,3
10164,9
35442,1
41161,6
41160,1
41691,10
6805,1
41165,1
41164,3
48780,1
56783,1
58219,2
57871,1
29363,1
49944,1
34977,20
34974,13
34975,2
48416,1
262759,1
52731,1
48142,1
48411,1
58189,2
9186,1
